objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
mciver001-1,April_04_1943_1a.jpg,,McIver Letter Side 1-A - flight training,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-04-04,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Savannah, GA",,,,,,,,,,,Image;StillImage,eng,
mciver001-2,April_04_1943_1b.jpg,,McIver Letter Side 1-B - flight training,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-04-04,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Savannah, GA",,,,,,,,,,,Image;StillImage,eng,
mciver001-3,April_04_1943_2a.jpg,,McIver Letter Side 2-A - flight training,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-04-04,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Savannah, GA",,,,,,,,,,,Image;StillImage,eng,
mciver002-1,August_01_1943_1a.jpg,,McIver Letter Side 1-A - friends updates,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver002-2,August_01_1943_1b.jpg,,McIver Letter Side 1-B - friends updates,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver002-3,August_01_1943_2a.jpg,,McIver Letter Side 2-A - friends updates,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver002-4,August_01_1943_2b.jpg,,McIver Letter Side 2-B - friends updates,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-1,August_07_1943_1a.jpg,,McIver Letter Side 1-A - flight training cont.,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-2,August_07_1943_1b.jpg,,McIver Letter Side 1-B - flight training cont.,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-3,August_07_1943_2a.jpg,,McIver Letter Side 2-A - flight training cont.,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-4,August_07_1943_2b.jpg,,McIver Letter Side 2-B - flight training cont.,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, social constructs and relationships, and reflection of culture and society during wartime.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
